Sample	G-CSF (CSF-3)	IL-10	IL-3	LIF	IL-1 beta	IL-2	M-CSF	IP-10 (CXCL10)	IL-4	IL-5	IL-6	IFN alpha	IL-22	IL-9	IL-13	IL-27	IL-23	IFN gamma	IL-12p70	GM-CSF	GRO alpha (CXCL1)	RANTES (CCL5)	TNF alpha	MIP-1 alpha (CCL3)	MCP-3 (CCL7)	MCP-1 (CCL2)	IL-17A (CTLA-8)	IL-15	MIP-2 alpha (CXCL2)	IL-1 alpha	ENA-78 (CXCL5)	Eotaxin (CCL11)	IL-28	IL-18	MIP-1 beta (CCL4)	IL-31	Total Events
20-3 2	10.65354657	71.82073889	0.630422139	5.153145405	1.980546526	13.98432754	< 0.32958984375	392.8797485	0.822525132	14.25473795	11.74830056	< 7.71484375	49.35054819	1396.074781	27.934633	355.7305788	19.2458306	2.186713002	9.254300092	6.222289103	81.71980445	120.235226	6.351087952	12.11552152	225.1871981	76.04045663	4.635302987	7.689981545	12.17639751	1.604610227	486.9261638	1894.06095	75.9168059	1565.762614	< 0.98876953125	5.483436218	6406
21-1 2	8.421703612	58.50274036	< 0.5126953125	2.608486157	1.835835182	10.77300108	< 0.32958984375	498.5688775	1.307712884	10.42355845	28.96292095	< 7.71484375	18.49171651	24.79198069	2.555687658	14.67039254	3.258222052	0.653649253	20.23495593	6.348159524	82.07651214	69.74845023	20.91251582	26.83044958	274.5377029	383.2154921	9.192874808	1.395285797	16.00770043	2.152550493	154.0819702	1076.695	18.24260025	< 29.9560546875	4.513574607	5.483436218	7828
21-2 2	21.99850187	82.6782652	< 0.5126953125	7.886383788	3.883406072	10.08283313	0.475703752	1028.641656	4.511420787	18.80883318	23.97519841	< 7.71484375	109.5629226	46.95768419	33.03218167	142.8878	11.78706955	12.48166286	24.38347336	7.899456546	80.38011314	153.0985247	41.23966996	3.074048812	427.8432735	509.9606234	7.050607109	7.369528476	21.09984695	11.77156332	1272.826436	> 2400	52.83580137	247.8750904	5.262765116	6.625376914	4754
21-3 2	9.484674129	46.01968938	1.581887477	11.93277371	2.288011017	3.059062237	< 0.32958984375	646.1156743	3.783837014	8.523562063	12.23475985	< 7.71484375	61.21016909	63.57307816	10.71428235	27.78227035	3.848094328	< 1.0986328125	12.17735485	7.437205206	32.84869583	93.26554097	11.16599933	2.52786501	333.1082608	< 12.01171875	5.246733803	3.316755723	13.06343055	8.482950091	< 11.572265625	> 2400	21.35766886	340.468295	< 0.98876953125	6.625376914	5764
22-1 2	42.20950012	71.82073889	< 0.5126953125	10.75868756	4.486928631	15.61235347	< 0.32958984375	247.3766452	5.406203799	20.36940178	58.29322255	< 7.71484375	58.26853931	101.3392014	5.727501719	16.71082284	13.91246224	3.044904658	16.0174768	15.46391492	125.3689455	67.10094132	16.32781374	2.303138617	245.2706434	511.4726455	10.72408589	9.742646916	15.03572062	7.796788235	1821.656393	1863.136369	82.2358703	< 29.9560546875	6.518289614	17.05594625	5453
22-2 2	18.84383491	62.07454181	< 0.5126953125	9.784949328	2.288011017	48.30171984	< 0.32958984375	504.3124418	7.100600567	19.59002835	29.97337104	< 7.71484375	38.73380157	165.9205943	12.8102571	18.68695433	8.79808282	1.158915796	9.062964586	4.018076147	216.3167276	99.78673928	4.071494654	3.488225453	328.8920427	235.2183044	15.12269591	7.872034799	21.8503477	28.93285715	831.2980677	3505.173713	26.28445286	< 29.9560546875	3.057745173	22.18278162	5376
22-4 2	9.875849631	40.74604792	0.083093819	13.44032791	3.569143701	16.71244988	< 0.32958984375	198.1775844	6.4649343	11.14183756	28.62541538	< 7.71484375	83.94447169	316.2582811	15.47447234	57.94464898	17.86189903	0.119625044	11.95976519	16.05922329	46.08919935	104.2841827	3.230186107	4.084796995	229.2138975	115.9463841	7.349791639	1.333262358	10.2081108	7.48406355	1601.680127	2947.51391	130.7891704	< 29.9560546875	1.789254683	18.30771877	5285
23-1 2	5.065164315	139.65229	< 0.5126953125	3.52192745	1.332425087	58.02621209	2.638212877	611.907271	1.360965591	5.856396457	19.35952076	< 7.71484375	20.55188214	57.58964555	1.982263449	26.71187916	5.206717455	10.3111827	7.472550795	4.61038475	97.96956145	176.7232196	31.19077446	5.399092884	389.3838391	680.2107016	1.603255621	12.68779037	15.80199357	0.965794088	349.6060165	3416.691633	39.77084349	378.3320678	17.53780655	< 9.47265625	5042
23-2 2	7.728654026	68.21836478	0.57895707	4.12060719	2.001152279	12.27615259	0.434164867	365.3839322	1.147248051	8.932628517	21.1007597	< 7.71484375	41.03123572	46.65044481	2.824381252	14.5299283	16.55867158	2.298116959	11.90162635	3.707466457	12.90966336	70.23605661	10.61086341	2.039067005	341.7920479	197.6431173	6.633290112	6.25093136	14.15825796	12.8073492	1055.251104	> 2400	12.66644402	85.71039383	3.101305391	2.58699055	5983
24-1 2	10.06237195	40.74604792	< 0.5126953125	25.95992941	2.124452718	9.082891726	< 0.32958984375	249.0971754	2.122706534	16.10285629	24.66039062	< 7.71484375	61.94336729	20.13048657	7.407279247	21.66103197	29.90250431	< 1.0986328125	6.057255488	12.79103067	69.38607768	61.87884002	8.115216842	4.276567747	286.9005285	229.1912851	2.393896963	3.579698959	14.12186059	< 3.3935546875	1060.326762	3191.62733	78.03895713	325.9717256	4.404381698	31.23629933	7056
24-2 2	292.4273403	857.2607889	< 0.5126953125	990.3651985	2.083414985	160.7327282	< 0.32958984375	568.7977465	5.678001763	62.13974453	997.2620871	487.848839	2823.347142	117.7420577	7.854690846	17.98055056	859.7247856	206.0298643	123.7266206	302.2992556	431.5617009	80.86508821	5.382361435	2.775784741	421.2775139	199.8958326	180.7009432	378.6202323	16.2799048	26.91652728	752.9118479	> 2400	1747.389182	15832.15538	9.125244912	754.8199989	5223
24-3 2	36.73210357	76.57662241	< 0.5126953125	4.712741509	1.543687559	26.8886435	< 0.32958984375	608.4073106	1.467147975	7.059282948	60.19400101	< 7.71484375	35.64872968	24.46250042	6.493112519	28.35358123	3.377602745	< 1.0986328125	20.99105609	5.171422223	152.9270434	199.9299859	20.55740928	5.835829441	338.3567109	466.1407199	1.522861687	3.1572094	16.21207187	6.512344337	318.1454815	> 2400	50.46202239	< 29.9560546875	10.5322021	5.146582664	4927
24-4 2	70.86415381	66.88146123	< 0.5126953125	331.6202832	17.54585326	11.55288763	< 0.32958984375	572.7328072	3.328585751	230.2978125	38.06744469	< 7.71484375	557.722498	1671.186774	39.70353985	389.8131965	534.6708058	10.57559481	11.2733872	11.46060112	86.04466479	216.2454418	11.82711427	15.20455822	362.75699	327.565518	25.88909389	19.19181355	20.84665842	< 3.3935546875	456.1399505	4403.613507	314.2043892	2125.346461	8.082471812	19.29407304	5238
