"","Symbol","logFC_FucoVsCtrl","pval_FucoVsCtrl","padj_FucoVsCtrl","up_FucoVsCtrl","down_FucoVsCtrl","sig_FucoVsCtrl"
"Tom1l2","Tom1l2",-0.0172197284506173,0.92491367337654,0.999813034205243,FALSE,FALSE,"Not sig."
"Zfp385a","Zfp385a",-0.17285428146015,0.573968393389592,0.999813034205243,FALSE,FALSE,"Not sig."
"Itga5","Itga5",0.371932554177742,0.306531958313549,0.999813034205243,FALSE,FALSE,"Not sig."
"Wdr77","Wdr77",-0.238999019006729,0.216500396509522,0.999813034205243,FALSE,FALSE,"Not sig."
"Atp5pb","Atp5pb",0.0441044951138871,0.854900757344909,0.999813034205243,FALSE,FALSE,"Not sig."
"Hnrnpd","Hnrnpd",0.184674850965611,0.283130333024618,0.999813034205243,FALSE,FALSE,"Not sig."
"Dynlt1c","Dynlt1c",-0.3317895855544,0.391580555020379,0.999813034205243,FALSE,FALSE,"Not sig."
"C1d","C1d",-0.169699329741471,0.561378065014883,0.999813034205243,FALSE,FALSE,"Not sig."
"Gm2a","Gm2a",0.0697122589912501,0.803213007681032,0.999813034205243,FALSE,FALSE,"Not sig."
"Krit1","Krit1",-0.12679373162443,0.455432200675841,0.999813034205243,FALSE,FALSE,"Not sig."
"Clcn4","Clcn4",-0.199853659626112,0.221753215136104,0.999813034205243,FALSE,FALSE,"Not sig."
"Sema4f","Sema4f",-0.0768210521070356,0.902813982282383,0.999813034205243,FALSE,FALSE,"Not sig."
"Hk2","Hk2",0.34946898056298,0.318511005816813,0.999813034205243,FALSE,FALSE,"Not sig."
"Myo18a","Myo18a",0.0739078261509538,0.730073730249022,0.999813034205243,FALSE,FALSE,"Not sig."
"Haao","Haao",-0.288642799131816,0.280824624673321,0.999813034205243,FALSE,FALSE,"Not sig."
"Cd52","Cd52",0.112360948913816,0.623568607505245,0.999813034205243,FALSE,FALSE,"Not sig."
"Abhd15","Abhd15",0.0375023446223333,0.8832429356216,0.999813034205243,FALSE,FALSE,"Not sig."
"Loxl3","Loxl3",-0.0992568410209778,0.630592117228102,0.999813034205243,FALSE,FALSE,"Not sig."
"Kat2b","Kat2b",0.156771403254119,0.380179573099121,0.999813034205243,FALSE,FALSE,"Not sig."
"Rab5b","Rab5b",-0.209153394793679,0.380380460839134,0.999813034205243,FALSE,FALSE,"Not sig."
"Cryba1","Cryba1",0.311566003133556,0.415138520977847,0.999813034205243,FALSE,FALSE,"Not sig."
"Icosl","Icosl",-0.381275921798884,0.233143165818855,0.999813034205243,FALSE,FALSE,"Not sig."
"Spg7","Spg7",-0.141961567697506,0.459849192475573,0.999813034205243,FALSE,FALSE,"Not sig."
"Rpl13","Rpl13",0.154494402344993,0.544541293479355,0.999813034205243,FALSE,FALSE,"Not sig."
"Chmp1a","Chmp1a",-0.160323055666527,0.473062311484484,0.999813034205243,FALSE,FALSE,"Not sig."
"Rpa1","Rpa1",-0.0801650801267677,0.681657384521015,0.999813034205243,FALSE,FALSE,"Not sig."
"Serpinf1","Serpinf1",0.172469434281752,0.691723021738752,0.999813034205243,FALSE,FALSE,"Not sig."
"Tubgcp3","Tubgcp3",0.151303471154681,0.369194762212526,0.999813034205243,FALSE,FALSE,"Not sig."
"Oprm1","Oprm1",0.0566354979886766,0.830179619852311,0.999813034205243,FALSE,FALSE,"Not sig."
"Polr3d","Polr3d",0.19438314541009,0.439514039748714,0.999813034205243,FALSE,FALSE,"Not sig."
"Tcf7","Tcf7",-0.404759624031555,0.259430226652572,0.999813034205243,FALSE,FALSE,"Not sig."
"Ddx3x","Ddx3x",0.429368196167231,0.0421579444432087,0.999813034205243,FALSE,FALSE,"Not sig."
"Il12rb1","Il12rb1",0.0242771266444277,0.954504672639715,0.999813034205243,FALSE,FALSE,"Not sig."
"Usp32","Usp32",-0.0615993220023928,0.835868501977971,0.999813034205243,FALSE,FALSE,"Not sig."
"Txnrd3","Txnrd3",0.584725596211408,0.0839735419340992,0.999813034205243,FALSE,FALSE,"Not sig."
"Fasl","Fasl",-0.100596192226503,0.813753460871687,0.999813034205243,FALSE,FALSE,"Not sig."
"Zfp512b","Zfp512b",0.0205753568362962,0.924664122778801,0.999813034205243,FALSE,FALSE,"Not sig."
"Dnajc5","Dnajc5",-0.0605768700161284,0.674507507931238,0.999813034205243,FALSE,FALSE,"Not sig."
"Tpd52l2","Tpd52l2",0.191306310534481,0.292432218898226,0.999813034205243,FALSE,FALSE,"Not sig."
"Fmr1","Fmr1",-0.112313711899718,0.480775313693336,0.999813034205243,FALSE,FALSE,"Not sig."
"Bcl11a","Bcl11a",-0.302138972020726,0.477392593306731,0.999813034205243,FALSE,FALSE,"Not sig."
"Il4","Il4",-0.27230561161545,0.536692775939392,0.999813034205243,FALSE,FALSE,"Not sig."
"Pxmp4","Pxmp4",-0.108714477422086,0.748144012918761,0.999813034205243,FALSE,FALSE,"Not sig."
"Dlg3","Dlg3",-0.31386042486321,0.187453120260611,0.999813034205243,FALSE,FALSE,"Not sig."
"Gnb1l","Gnb1l",0.0840873790029969,0.831014721192599,0.999813034205243,FALSE,FALSE,"Not sig."
"Mmp11","Mmp11",-0.0994324629602731,0.806372813828166,0.999813034205243,FALSE,FALSE,"Not sig."
"Smarcb1","Smarcb1",-0.187214685989122,0.34138746260656,0.999813034205243,FALSE,FALSE,"Not sig."
"Hip1r","Hip1r",0.0743610224146507,0.765491486218521,0.999813034205243,FALSE,FALSE,"Not sig."
"Nsun5","Nsun5",-0.105171895525334,0.624542978820242,0.999813034205243,FALSE,FALSE,"Not sig."
"Top1mt","Top1mt",-0.438617915497096,0.313141793754325,0.999813034205243,FALSE,FALSE,"Not sig."
"Slc7a7","Slc7a7",0.284565524769464,0.343846735774802,0.999813034205243,FALSE,FALSE,"Not sig."
"Oxa1l","Oxa1l",0.135230576991844,0.419618491819084,0.999813034205243,FALSE,FALSE,"Not sig."
"Heatr6","Heatr6",-0.0926683049698891,0.635146939454595,0.999813034205243,FALSE,FALSE,"Not sig."
"Ccl3","Ccl3",1.13319493309016,0.0603099421470092,0.999813034205243,FALSE,FALSE,"Not sig."
"Ilf2","Ilf2",0.136648081887023,0.512181943669056,0.999813034205243,FALSE,FALSE,"Not sig."
"Chtop","Chtop",-0.0682679075087312,0.671830691837624,0.999813034205243,FALSE,FALSE,"Not sig."
"Snapin","Snapin",-0.130091898352334,0.434519456759277,0.999813034205243,FALSE,FALSE,"Not sig."
"S100a4","S100a4",0.224779638282818,0.623945624944955,0.999813034205243,FALSE,FALSE,"Not sig."
"S100a6","S100a6",0.41107251459875,0.131891706022222,0.999813034205243,FALSE,FALSE,"Not sig."
"Scn4a","Scn4a",0.631635649234103,0.14988675165981,0.999813034205243,FALSE,FALSE,"Not sig."
"Icam2","Icam2",-0.224231313286421,0.380562713647722,0.999813034205243,FALSE,FALSE,"Not sig."
"Mapk7","Mapk7",0.218960328452819,0.38045169921018,0.999813034205243,FALSE,FALSE,"Not sig."
"Epn2","Epn2",1.18818231006915,0.0631287143284016,0.999813034205243,FALSE,FALSE,"Not sig."
"Sec24b","Sec24b",-0.0143835988012305,0.921570373244074,0.999813034205243,FALSE,FALSE,"Not sig."
"N4bp3","N4bp3",0.512821966415136,0.196025729670627,0.999813034205243,FALSE,FALSE,"Not sig."
"Rmnd5b","Rmnd5b",0.449398661968817,0.0740094780773735,0.999813034205243,FALSE,FALSE,"Not sig."
"Nhp2","Nhp2",-0.0908130886079674,0.69137342674555,0.999813034205243,FALSE,FALSE,"Not sig."
"Vps9d1","Vps9d1",-0.131269613430247,0.487839517260899,0.999813034205243,FALSE,FALSE,"Not sig."
"Zfp276","Zfp276",-0.127004432859061,0.601933580976858,0.999813034205243,FALSE,FALSE,"Not sig."
"Mfsd10","Mfsd10",0.144225872230833,0.617704158289623,0.999813034205243,FALSE,FALSE,"Not sig."
"Luzp1","Luzp1",-0.200918776577991,0.449475834447884,0.999813034205243,FALSE,FALSE,"Not sig."
"Kctd10","Kctd10",-0.13075002948651,0.508605269250278,0.999813034205243,FALSE,FALSE,"Not sig."
"Poldip2","Poldip2",-0.0376987591798764,0.841758116177213,0.999813034205243,FALSE,FALSE,"Not sig."
"Ift20","Ift20",-0.203121774435584,0.490704700431259,0.999813034205243,FALSE,FALSE,"Not sig."
"Pcbp3","Pcbp3",-0.251433147803012,0.48242585870824,0.999813034205243,FALSE,FALSE,"Not sig."
"Lgals9","Lgals9",-0.0548324046658192,0.883082420858663,0.999813034205243,FALSE,FALSE,"Not sig."
"Araf","Araf",-0.231887632091731,0.224399226776794,0.999813034205243,FALSE,FALSE,"Not sig."
"Cfp","Cfp",0.236615085250913,0.511668822881303,0.999813034205243,FALSE,FALSE,"Not sig."
"Uxt","Uxt",-0.345576985697491,0.236867850353381,0.999813034205243,FALSE,FALSE,"Not sig."
"Cnnm3","Cnnm3",-0.168187376722111,0.385814280044338,0.999813034205243,FALSE,FALSE,"Not sig."
"Lman2l","Lman2l",-0.248249204584795,0.267625676670012,0.999813034205243,FALSE,FALSE,"Not sig."
"Mcm3ap","Mcm3ap",0.0768027812739548,0.659491115873199,0.999813034205243,FALSE,FALSE,"Not sig."
"Pcnt","Pcnt",0.0101381764323826,0.968841194691384,0.999813034205243,FALSE,FALSE,"Not sig."
"Mxd1","Mxd1",0.215818088489641,0.491932842113265,0.999813034205243,FALSE,FALSE,"Not sig."
"Gmcl1","Gmcl1",0.057469462064361,0.775042780880621,0.999813034205243,FALSE,FALSE,"Not sig."
"Snrnp27","Snrnp27",0.140305795011136,0.57388447016308,0.999813034205243,FALSE,FALSE,"Not sig."
"Oas1c","Oas1c",-0.172742549614265,0.699637322449855,0.999813034205243,FALSE,FALSE,"Not sig."
"Ocrl","Ocrl",-0.214981503854139,0.26860595457247,0.999813034205243,FALSE,FALSE,"Not sig."
"Calm1","Calm1",0.237769276687127,0.143165589595877,0.999813034205243,FALSE,FALSE,"Not sig."
"Agpat3","Agpat3",-0.122915530746181,0.493732524384431,0.999813034205243,FALSE,FALSE,"Not sig."
"Sema6b","Sema6b",0.718637286832633,0.111400955926724,0.999813034205243,FALSE,FALSE,"Not sig."
"Uhrf1","Uhrf1",0.00139950209004368,0.996965913249129,0.999920177050452,FALSE,FALSE,"Not sig."
"Dpp9","Dpp9",-0.0312616312536441,0.84412792439222,0.999813034205243,FALSE,FALSE,"Not sig."
"Ramp2","Ramp2",-0.319803878709164,0.290942322044362,0.999813034205243,FALSE,FALSE,"Not sig."
"Lsr","Lsr",0.0772797729287061,0.795856620695011,0.999813034205243,FALSE,FALSE,"Not sig."
"Gramd1a","Gramd1a",0.125398570562792,0.545866771535648,0.999813034205243,FALSE,FALSE,"Not sig."
"Ckb","Ckb",-0.0415076611068296,0.895060091328591,0.999813034205243,FALSE,FALSE,"Not sig."
"Sp1","Sp1",0.036950574597436,0.845969885634785,0.999813034205243,FALSE,FALSE,"Not sig."
