"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comp","Sign"
"old.tissues.Spleen","old.tissues.Spleen","old.tissues.Spleen",273,0.518531490931596,2.16157258033243,1e-10,1.55e-09,8.42105263157895e-10,1197,"tags=31%, list=10%, signal=28%","Gng4/Slamf9/Hepacam2/Wipf3/Lmo7/Tigit/Aldh1l2/Tcf24/Sox5/Rhobtb1/Mapk12/Plat/Zbtb20/Nrp2/Chac1/Tub/Socs3/Prob1/3425401B19Rik/Wfdc17/Ccl4/Il10/Slit1/Prdm1/Ctla4/Pcdhgc5/Nr3c2/Syn3/Trib1/C4b/Mzb1/Apol10b/Art3/Fabp5/Tnfrsf8/Plcd3/Hcrtr2/Etl4/Zbtb32/Krt222/Eaf2/Ifitm10/Tenm4/Lipc/Adgrf3/Gzmk/Scn1b/Creb3l2/Gdf15/Rbm47/Ect2l/Cacna1a/Derl3/Rab26/Dnm3/Afdn/Fabp4/Tlr2/Fah/Spock2/Bspry/Slpi/Vmn2r96/Htra4/Chic1/Ptpdc1/Kcnh6/Tmem154/Tnfrsf4/Nav2/Nt5e/Prkcz/Cd200r4/Bhlhe40/Aplp1/Crmp1/Bhlha15/Ttn/Trim46/Chst7/Tnfsf8/Ebpl/Ptpn22/Herpud1","FucoVsCtrl","Activated"
"old.tissues.WBC","old.tissues.WBC","old.tissues.WBC",466,-0.387688641047459,-2.00316163848184,1e-10,1.55e-09,8.42105263157895e-10,3071,"tags=42%, list=25%, signal=33%","Dusp16/Trappc10/Ace/Rasa3/Ssr3/Ccdc47/Ano6/Csf1r/Slc38a10/Mef2c/Tspan18/Atp2a3/Cd300e/Daam1/Slc25a10/Hfe/Enpp5/Anxa5/Idh1/Ormdl1/Mtm1/Krt80/Cpq/Itgav/Sec14l1/Tacc1/Pitpnm1/Lamp2/Smpdl3b/Tmigd3/Abcc1/Abcd1/Gpr107/Tmod3/Tnfrsf1b/Ppp2r5c/Calu/Ppp3r1/Snx10/Maged2/Xpnpep1/Amfr/Pign/Zeb2/Tspan17/Mtmr9/Alpk1/Atp8a1/Pde4d/Tm4sf1/Fam13b/Slc18a2/Rab6a/Phlda3/Dpp8/Palm/Fbxw5/Casp12/Qsox1/Acss2/Rab3d/Rasgrp2/Coro1c/Rtn3/Hk1/Atp6v0a1/Bace1/Stom/Dstn/Arf3/Chst12/Samd14/Tuba1a/Klra2/Cnp/Sort1/Gbe1/Cmtm6/Unc13d/Mink1/Mast2/Napg/Flna/Slc25a35/Crk/Itga2b/Cds2/Hpse/Lamp1/Nomo1/Ufsp1/Mest/Pdk1/Cyb5r3/Cdkn2b/Pygb/Ltbp2/Gata2/Tmem50b/Sh2b3/Wdr13/Ubqln2/Map1a/Cmtm4/Itgb5/Gas2l1/Leprot/Tln1/Vcl/Pkd1l3/Atp2c1/Daglb/Lrrn3/Cc2d2b/Bicd2/Cerk/H2-DMb1/Tnfrsf21/Neurl3/Otud7b/Dna2/Nlrx1/Ttc12/Kcna3/Tsc22d1/Grk3/Rasgrf2/Pggt1b/Smad1/Wwc2/Abcc5/Nav1/Ostm1/Cd93/Mfsd2b/Slain2/Adgre4/Nab1/Mbnl1/Focad/Tbc1d8/Ccdc88a/Itgb3/Frmd4b/Ehd4/Slc44a1/Vdac1/Clca3a1/2510009E07Rik/Pid1/Tspan9/Tollip/Slc24a3/Arhgap28/Arhgap10/Lancl3/Pde7b/Rasl10a/Ociad2/Tubb1/F5/Itga6/Myom1/Mfap3l/Arhgap18/Yap1/Fcgr2b/Angpt1/Ebi3/Tmem123/Rai2/Pmp22/Fam174b/Lrrc8b/Pcgf3/Csgalnact1/Nbea/Il7/Thsd4/Ssx2ip/Gm527/Syn1/Hpgd/Kcna4/Svip/Dtna/Afap1l1/Cpe/Fam149b/Shisa9/Wwtr1/Mdm1/Clec2f/Pxdc1/Accsl/Slc16a2/Tspan12/Rorb","FucoVsCtrl","Suppressed"
"old.tissues.Marrow","old.tissues.Marrow","old.tissues.Marrow",169,-0.438195907446158,-2.05192951195093,3.23228872886083e-08,3.34003168648952e-07,1.81461823374643e-07,1864,"tags=50%, list=15%, signal=43%","Nacc2/Plxdc2/Pld2/Treml1/Jchain/Itga2b/Hid1/Ankrd35/Ufsp1/Selenom/Ltbp2/Foxp3/Dennd4c/Gcsam/Lat/Tnik/Pkd1l3/Gimap3/Rhoj/Vwf/Tgfb1i1/Rbpms2/Myl9/Alox12/Cuedc1/Cd84/Serpine2/Gm49392/Mpl/Ms4a4b/Mob1b/Sytl4/Trpc6/Clca3a1/Slamf1/Rida/Slc24a3/Pde5a/Sec14l5/Ccl5/Fhl1/Ltbp1/Gp6/Lancl3/Med12l/Ophn1/Clec1b/Cysltr2/Sh3bgrl2/F2rl2/Cald1/Myom1/Mfap3l/Rab27b/Pls1/Angpt1/Cttn/Esam/Mmrn1/Gnpda2/Dlg2/Myct1/Reep2/Ro60/Pde3a/F2rl3/Pmp22/Rnf180/Ppbp/Csgalnact1/Cd226/Nbea/Pou6f1/Schip1/Nckap1/Palld/Cyp2b10/Dtna/Spry1/Cd200/Proser2/Wwtr1/Pkd2/Tox/Apbb2","FucoVsCtrl","Suppressed"
"old.tissues.GAT","old.tissues.GAT","old.tissues.GAT",797,0.311027957810005,1.38950637360639,0.00024547417692321,0.00190242487115488,0.00103357548178194,2121,"tags=23%, list=17%, signal=21%","Cxcl1/Adm/Dnase1l3/Lrrn4cl/Rtn2/Tigit/Tcf24/Cxcl2/Ier3/Alpk2/Gadd45b/Cacna1e/Fam83g/St8sia6/Adam33/Mxra8/3425401B19Rik/Junb/Clec4e/Wfdc17/Ccl4/Il10/Plscr1/Maff/Slit1/Il5ra/Prdm1/Ctla4/Plekhg6/Il1rn/Mcoln2/Tlr8/Acod1/Jph3/Cux2/Syn3/Eya2/Rasl10b/Slc46a2/Trib1/C4b/Mzb1/Wnt11/Csrnp1/Lman1l/Tmem45b/Cystm1/Zbtb32/Tbc1d9/Plekha7/Fam83f/Tgm1/Ifi207/Prps2/Smpd5/Ggt7/Nfkbid/Eaf2/Ifitm10/Stab1/P2ry2/Pstpip2/Cys1/Pde8a/Baiap2l1/P2ry13/Pcdhgb2/Cfb/Clec5a/Sgms2/Gm6377/Ankrd33b/Ass1/Ptafr/Ica1l/Fcrl5/Abat/Nap1l5/Cacna1a/Derl3/Lrrc20/Cmya5/Slc41a2/Ms4a6d/Nfkbie/Samsn1/S100a8/Lrrc25/Tlr2/Smpd3/Slpi/Uap1l1/Tnn/Meis3/Htra4/Fos/Itgad/Zscan18/Gtse1/Rcor2/Kcnh6/Tmc3/Slfn4/Tmem154/Cyp11a1/Cd200r4/Gm4924/Ryr2/Ptpn7/Arhgap22/Crmp1/Bhlha15/Cd68/C5ar1/Clec4d/Tnfsf8/Ptpn22/Osm/Arl5c/Kcnc3/Icos/Fcgr3/Cd80/Gns/Chst10/Sp140/Tmem176a/Nup210l/Ppp1r18/Pllp/Rab3il1/Egr3/Sh2d2a/Klf8/Gnb3/Egr1/Etv5/Ric3/Slc7a7/Lrp11/Cd69/Emilin2/Selenop/Scn3b/Tlr13/Card11/Tyrobp/Myo5a/Ptprv/Timp2/Stambpl1/Mcemp1/Jpt2/Serpina3f/Map3k8/Fcmr/Bst1/Mocos/Tmem163/Hdac9/Espl1/Treml4/Selplg/Gm49339/Cd5/Mid1/Hmox1/Cfp/Txndc16/Podnl1/Ninl/Tlr7/Cdkl4/Hk3/Rasgrp1/Gstp2/Slc11a1/Mafb/Tgfbi/Gldc/Got1/Spi1/9930111J21Rik1/Cd4/Cd180","FucoVsCtrl","Activated"
"young.tissues.Kidney","young.tissues.Kidney","young.tissues.Kidney",270,-0.294855510053072,-1.46133805725988,0.000744915263058419,0.00409767913300261,0.00222624333202179,2171,"tags=29%, list=18%, signal=24%","Dcakd/Fanca/Ecm1/Slc35f5/Slc14a1/Kmt5c/H4c8/Rnpepl1/Dnajc3/Pecam1/Lman2l/Krt7/Dvl3/Mfsd8/Angpt2/Dap/Mboat2/Mest/Elmod2/Slc43a2/Hspa4l/Natd1/Phtf2/Slc26a11/Slc33a1/Itgb1/Hacd1/Cd164/Lman1/Acot8/Slc26a6/Slc14a2/Rbpms2/Prdx3/E2f3/Ak3/Ehhadh/Col4a1/Nudt7/Fbxw17/Abhd18/Gid4/Tspan9/Tet1/Slc19a1/Rogdi/Cox11/Rmdn3/Nid2/Ltbp1/Dpp4/Itga6/Acadm/S1pr3/Angpt1/Miga2/Acadsb/Pigc/Lrrc8b/Tyw3/Dusp18/Wasf3/Napepld/Hsd11b2/Cd200/Car5b/Proser2/Afap1l1/Rprd1a/Robo3/Jcad/Mkks/Emid1/Tmem38a/1700066M21Rik/Tspan12/Inpp5j","FucoVsCtrl","Suppressed"
"old.tissues.Lung","old.tissues.Lung","old.tissues.Lung",540,0.31954881288041,1.40229328169364,0.000793099187032764,0.00409767913300261,0.00222624333202179,2221,"tags=24%, list=18%, signal=21%","Dnase1l3/Slamf9/Hepacam2/Tnf/Tigit/2410004P03Rik/Ahnak2/Foxd4/Chrm3/Catip/Slc7a11/St8sia6/Apol9b/Zfp296/Clec4e/Wfdc17/Il5ra/Ctla4/Mcoln2/Cxcl10/Acod1/Rasl10b/Ifi205/C4b/Mzb1/Apol10b/Tnfrsf8/Tnfaip3/Dnah1/Pycard/Zbtb32/Wdr49/Usp2/Nfkbid/Grip2/Fcgr4/Pstpip2/Lipc/Il1b/Cfb/Clec5a/Gzmk/Sh2b2/Scn1b/Abhd6/Gm6377/Cd177/Ass1/Ptafr/Fcrl5/Derl3/Galnt9/Cdc45/Ms4a6d/Nfkbie/Mybl2/Armc2/Samsn1/Lrrc25/Tlr2/Dtx1/Cntf/Phgdh/Slpi/Meis3/Itgad/Ankrd37/Adgrg5/Tmem154/Cyp11a1/Tnfrsf4/Cd200r4/Bhlhe40/Ptpn7/Bhlha15/Cd68/Calhm6/Trim15/Tlr9/Tnfsf8/Ptpn22/Icos/Fcgr3/Cd80/Irf4/Sp140/Gca/Mmp9/Cd86/Zcchc18/Lag3/Ric3/Emilin2/Sytl1/Tlr13/Trem3/Mpeg1/Myo5a/Ptprv/B4galnt4/Serpina3f/Hrh2/Rab32/Fcmr/Hdac9/Treml4/Selplg/Ryr1/Gm49339/H2-Q5/Lrrc71/Podnl1/Ctsk/Tlr7/Orc1/Cdkl4/H2-Aa/Slc11a1/Vwa3b/Fgl2/Glipr1/Tgfbi/Spi1/Cd180/Evi2a/Slc2a6/Noxred1/Jaml/Ptger4/Lpxn","FucoVsCtrl","Activated"
"old.tissues.Bone","old.tissues.Bone","old.tissues.Bone",99,0.449080529078613,1.65006879985348,0.00142832877332887,0.00609254607908174,0.00331004201240434,1393,"tags=31%, list=11%, signal=28%","Hepacam2/Rtn2/Tigit/Obscn/Lsmem1/Prob1/3425401B19Rik/Ctla4/Nr3c2/Apol10b/Tmem45b/Zbtb32/Scn4a/Camk2b/Egf/Pygm/Myo18b/Gzmk/Alpk3/Cxcl16/Tnnt3/Cmya5/Tpbgl/Tnfrsf4/Gm19345/Ttn/Mybpc2/Lmod2/Plekhb1/Cpt1b/Mapt","FucoVsCtrl","Activated"
"old.tissues.Kidney","old.tissues.Kidney","old.tissues.Kidney",547,0.315038762508912,1.38377726539104,0.00157226995589206,0.00609254607908174,0.00331004201240434,2165,"tags=24%, list=18%, signal=20%","Cxcl1/Dnase1l3/Cxcl2/Ier3/Marcksl1/Jun/Gpt2/Nr4a3/Arc/Socs3/Extl1/Junb/Wfdc17/Il5ra/Il1rn/Irf1/Cxcl10/Acod1/C4b/Mzb1/Apol10b/Atf3/Lcn2/Upp1/Gpt/Ifi207/Ggt7/Nfkbid/Fcgr4/Ifitm10/Nrg1/Rel/Marchf9/Cd14/P2ry13/Sox15/Il1b/Pcdhgb2/Gzmk/Camkk1/Scn1b/Icam1/Gdf15/Ptafr/Cxcl16/Nfkbiz/Ier2/Midn/Ms4a6d/Nfkbie/Mefv/Bcl2a1b/Plac8/Egr2/Dusp1/S100a8/Tlr2/Zfp36l2/Plppr3/Slpi/Oasl1/Meis3/Fos/Apom/Foxj1/S100a6/Tmem154/Acat3/Dusp2/Crip1/Bcl3/Ctsc/Cd68/C5ar1/Hcst/Tlr9/Ptpn22/Pim1/Fcgr3/Pcdhga2/Mybpc2/Tnfsf13b/Traf1/Irf4/Sp140/Masp2/Plekhb1/Ppp1r18/Slc15a3/Egr3/Sh2d2a/Nfkb2/Cd86/Egr1/Lag3/Slc39a4/Ric3/Sh2d1b1/Cd69/Emilin2/Tlr13/Card11/Mpeg1/Tyrobp/Dusp5/Serpina3f/Vim/Fcmr/Treml4/Selplg/Gm49339/H2-Q5/Cd5/Mid1/Cfp/Podnl1/Hk3/Gstp2/H2-Aa/Slc11a1/Fgl2/Glipr1/S100a4/Tgfbi/Spi1/Cd180/Efhd2/Evi2a/Slc2a6","FucoVsCtrl","Activated"
"old.tissues.MAT","old.tissues.MAT","old.tissues.MAT",653,0.289508596495348,1.28309240925794,0.00675614074002345,0.0232711514378585,0.0126430703906872,2121,"tags=22%, list=17%, signal=19%","Cxcl1/Adm/Dnase1l3/Slamf9/Lrrn4cl/Islr2/Tcf24/Alpk2/St8sia6/Junb/Wfdc17/Plscr1/Prdm1/Ctla4/Il1rn/Tnk1/Mcoln2/Tlr8/Eya2/Ifi205/C4b/Mzb1/Sema6b/Tnfrsf8/Tnfaip3/Tmem45b/Zbtb32/Necab3/Ifi207/Scn4a/Smpd5/Nfkbid/Rasal1/Fcgr4/Stab1/Tenm4/Lipc/Cdkl2/Fggy/P2ry13/Cfb/Mtfr2/Gzmk/Tnfrsf18/Ankrd33b/Ptafr/Fcrl5/Cnbd2/Ier2/Derl3/Slc41a2/Ly6g5b/Ms4a6d/Nfkbie/Ccr1/Mefv/Gata3/Bcl2a1b/Egr2/Lrrc25/Gpr68/Phgdh/E2f1/Htra4/Ifi208/Fos/Itgad/Pkp3/Rcor2/Adgrg5/Tmem154/Cyp11a1/Tnfrsf4/Rtn4rl1/Cd200r4/Shtn1/Dusp2/Ptpn7/Bhlha15/Ttn/Cd68/Map3k15/C5ar1/Nufip1/Hcst/Nfatc1/Tlr9/Tnfsf8/Ebpl/Ptpn22/Osm/Arl5c/Kcnc3/Fcgr3/Tnfsf13b/Traf1/Sp140/Zc3h12a/Sh2d2a/Ifi30/Cyp20a1/Cd86/Gja10/Irak2/Egr1/Trem1/Cd40lg/Ric3/Ppl/Cd69/Emilin2/Fam117b/Tlr13/Clec4a2/Card11/Mpeg1/Slc12a5/Tyrobp/Ptprv/Rpl12/Serpina3f/Hrh2/Fcmr/Tmem163/Treml4/Selplg/Ryr1/Gm49339/H2-Q5/Cd5/Tlr7/Cdkl4/Rasgrp1/H2-Aa/Slc11a1/Map3k9/Mafb/Gldc/Clcn1/Spi1/9930111J21Rik1/Vill/Cd4/Cd180","FucoVsCtrl","Activated"
