"","Symbol","logFC_FucoVsCtrl","pval_FucoVsCtrl","padj_FucoVsCtrl","up_FucoVsCtrl","down_FucoVsCtrl","sig_FucoVsCtrl"
"Exosc4","Exosc4",-0.0558310822835386,0.82503008264807,0.887020434128738,FALSE,FALSE,"Not sig."
"Ints14","Ints14",-0.0676820226777725,0.684528474446958,0.782273729699925,FALSE,FALSE,"Not sig."
"Zdhhc14","Zdhhc14",-0.12778228554305,0.557917767862273,0.680597848634555,FALSE,FALSE,"Not sig."
"Batf","Batf",0.0620579317835211,0.789780806023865,0.861484782233722,FALSE,FALSE,"Not sig."
"Setd5","Setd5",0.411933786178146,0.00551923916848342,0.0268245283986439,TRUE,FALSE,"Up"
"Jdp2","Jdp2",0.372569651172987,0.33949350857735,0.485014753297333,FALSE,FALSE,"Not sig."
"Thoc5","Thoc5",0.267285979454318,0.122734057017515,0.23960635991176,FALSE,FALSE,"Not sig."
"Dnajc17","Dnajc17",-0.00939287394598183,0.966993842351907,0.979719500054423,FALSE,FALSE,"Not sig."
"Nipsnap1","Nipsnap1",0.305064445385901,0.365081350834968,0.509441328992329,FALSE,FALSE,"Not sig."
"Nek9","Nek9",0.139981782755014,0.298443859917005,0.443793340217857,FALSE,FALSE,"Not sig."
"Traf3ip1","Traf3ip1",0.4236316635798,0.118479064248611,0.233773894251719,FALSE,FALSE,"Not sig."
"Med13","Med13",0.432600523196446,0.0281639718512418,0.0873528627684708,FALSE,FALSE,"Not sig."
"Fam53c","Fam53c",-0.0364401357627539,0.841848809882501,0.897871894884881,FALSE,FALSE,"Not sig."
"Ccdc15","Ccdc15",0.474585600044224,0.0138042187643452,0.0527012903175443,FALSE,FALSE,"Not sig."
"Sdr42e1","Sdr42e1",1.43636076536039,0.000487977864152107,0.00386837284728035,TRUE,FALSE,"Up"
"Kif4","Kif4",-1.21896448205437,0.000934477337695822,0.00661105052303692,FALSE,TRUE,"Down"
"Iqsec1","Iqsec1",0.300403928696696,0.0899647612380065,0.193084964729903,FALSE,FALSE,"Not sig."
"Trim59","Trim59",-1.65482852273383,4.98156846668969e-06,9.24703697995266e-05,FALSE,TRUE,"Down"
"Slc26a2","Slc26a2",0.501648099433173,0.0215913902612548,0.0724659952897799,FALSE,FALSE,"Not sig."
"Exosc1","Exosc1",0.480408569278643,0.0180207806197611,0.0635947064109625,FALSE,FALSE,"Not sig."
"Kctd9","Kctd9",-0.412988672419391,0.0163272388786456,0.0593731432417346,FALSE,FALSE,"Not sig."
"Brip1","Brip1",-0.592985786139081,0.0542047645526006,0.137483944378589,FALSE,FALSE,"Not sig."
"Plcg2","Plcg2",0.390935486004494,0.0219408059346282,0.0732928326033213,FALSE,FALSE,"Not sig."
"Zbed4","Zbed4",-0.368633252700296,0.070722704948403,0.164932024604629,FALSE,FALSE,"Not sig."
"Fam151b","Fam151b",-0.304127950075753,0.314465765398491,0.461008281540381,FALSE,FALSE,"Not sig."
"Wbp2","Wbp2",-1.53900573274732,1.6114180389637e-08,1.20367172446164e-06,FALSE,TRUE,"Down"
"Cbl","Cbl",0.0149417499962861,0.922815041761827,0.949058019920436,FALSE,FALSE,"Not sig."
"Ube2f","Ube2f",-1.73557195273984,2.94215851968804e-07,1.04889622907856e-05,FALSE,TRUE,"Down"
"Gtf2h5","Gtf2h5",-0.0398070005779407,0.869557303006403,0.916673845695734,FALSE,FALSE,"Not sig."
"Smc4","Smc4",-0.0398072400348304,0.811488465073537,0.87700509875363,FALSE,FALSE,"Not sig."
"Ramp1","Ramp1",-1.10696554365931,0.000123485673259444,0.00124367713782726,FALSE,TRUE,"Down"
"Mtmr3","Mtmr3",-1.97362285789876,1.38447230575031e-07,5.86950775839887e-06,FALSE,TRUE,"Down"
