"","geneID","Geneid","is_re","mgi_symbol","entrezgene_id","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"15572","Rps4x","ENSMUSG00000031320",FALSE,"Rps4x",20102,-0.383463267482989,0.101960094251246,1,"Not Sig.",0.592426723940258,0.182083511127714,0.959300024083201,"Not Sig."
"15573","Rps5","ENSMUSG00000012848",FALSE,"Rps5",20103,0.318042002966942,0.143971060978213,1,"Not Sig.",-0.252403446445487,0.232472573812133,0.972886003313183,"Not Sig."
"15574","Rps6","ENSMUSG00000028495",FALSE,"Rps6",20104,-0.24839334083845,0.401431515394111,1,"Not Sig.",-0.00369555142350447,0.990535431502526,0.999100566295736,"Not Sig."
"15575","Rps6ka1","ENSMUSG00000003644",FALSE,"Rps6ka1",20111,-0.057641671513602,0.684944376808689,1,"Not Sig.",-0.0233281061686965,0.861810977366121,0.999068264048154,"Not Sig."
"15576","Rps6ka2","ENSMUSG00000023809",FALSE,"Rps6ka2",20112,-0.00470647566960631,0.96321295377983,1,"Not Sig.",-0.0405270497953485,0.677018725791621,0.997255085969628,"Not Sig."
"15577","Rps6ka3","ENSMUSG00000031309",FALSE,"Rps6ka3",110651,0.19349491100166,0.11611011237341,1,"Not Sig.",0.102889190209529,0.527104324216412,0.993405749193857,"Not Sig."
"15578","Rps6ka4","ENSMUSG00000118668",FALSE,"Rps6ka4",56613,-0.054878328062831,0.739046303938828,1,"Not Sig.",-0.107570576756961,0.482971644772411,0.993405749193857,"Not Sig."
"15579","Rps6ka5","ENSMUSG00000021180",FALSE,"Rps6ka5",73086,-0.151126735302278,0.15525694634537,1,"Not Sig.",-0.104721472734328,0.327051045561208,0.993405749193857,"Not Sig."
"15580","Rps6ka6","ENSMUSG00000025665",FALSE,"Rps6ka6",67071,-0.0893128971736764,0.524796010164673,1,"Not Sig.",-0.076042329695408,0.7018426808135,0.997255085969628,"Not Sig."
"15581","Rps6kb1","ENSMUSG00000020516",FALSE,"Rps6kb1",72508,0.060398941074527,0.769737342075083,1,"Not Sig.",0.208414543805321,0.370920950665972,0.993405749193857,"Not Sig."
