"","geneID","Geneid","is_re","mgi_symbol","entrezgene_id","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"13715","Plaat3","ENSMUSG00000060675",FALSE,"Plaat3",225845,-0.332202215108467,0.306396750288139,0.726195833443874,"Not Sig.",0.0961917022891552,0.762932444257333,0.999990261480144,"Not Sig."
"13716","Plaat5","ENSMUSG00000024973",FALSE,"Plaat5",66727,0.540538383608314,0.241503287817359,0.671000170578722,"Not Sig.",-0.197633087632716,0.655466846884346,0.999990261480144,"Not Sig."
"13717","Plac1","ENSMUSG00000061082",FALSE,"Plac1",56096,0.221108973169914,0.541731634696792,0.862923252817863,"Not Sig.",0.425632518696398,0.188490414977553,0.999990261480144,"Not Sig."
"13718","Plac8","ENSMUSG00000029322",FALSE,"Plac8",231507,-0.469598850605895,0.106994213546873,0.500693908614523,"Not Sig.",0.0226280654681946,0.928955818009529,0.999990261480144,"Not Sig."
"13719","Plac8l1","ENSMUSG00000059455",FALSE,"Plac8l1",69401,1.60192765724215,0.0260659843353945,0.27808560784375,"Not Sig.",-0.0851904176931534,0.899601864958151,0.999990261480144,"Not Sig."
"13720","Plac9","ENSMUSG00000095304",FALSE,"Plac9",211623,0.771282887878176,0.0624394126900128,0.403403068665463,"Not Sig.",-0.31041672779712,0.43974064782305,0.999990261480144,"Not Sig."
"13721","Plag1","ENSMUSG00000003282",FALSE,"Plag1",56711,-0.613536737511435,0.00841746358507986,0.160925695733284,"Not Sig.",-0.0262645088622898,0.908375090317133,0.999990261480144,"Not Sig."
"13722","Plagl1","ENSMUSG00000019817",FALSE,"Plagl1",22634,0.371448877789007,0.178433723524191,0.605862382225704,"Not Sig.",0.385478546996116,0.147789413577583,0.999990261480144,"Not Sig."
"13723","Plagl2","ENSMUSG00000051413",FALSE,"Plagl2",54711,-0.078898644737911,0.819812111061546,0.959554538872059,"Not Sig.",-0.108577223002686,0.746399204091843,0.999990261480144,"Not Sig."
"13724","Plat","ENSMUSG00000031538",FALSE,"Plat",18791,0.533808964045502,0.0910089399197616,0.467459047430713,"Not Sig.",-0.0280436926841531,0.92684708484334,0.999990261480144,"Not Sig."
"13725","Platr25","ENSMUSG00000074863",FALSE,"Platr25",435366,-0.225010808330032,0.55650531897939,0.868238018709928,"Not Sig.",0.0673915745437322,0.862290639150951,0.999990261480144,"Not Sig."
"13726","Plau","ENSMUSG00000021822",FALSE,"Plau",18792,-0.725247357624535,0.0282776264405418,0.288230182533738,"Not Sig.",0.107244410455767,0.738677355467128,0.999990261480144,"Not Sig."
"13727","Plaur","ENSMUSG00000046223",FALSE,"Plaur",18793,1.19989393503583,0.0373165279735523,0.328730160042548,"Not Sig.",0.111979286859662,0.839878934760281,0.999990261480144,"Not Sig."
"13728","Plb1","ENSMUSG00000029134",FALSE,"Plb1",665270,-0.270726969766663,0.102838301375824,0.492076245887638,"Not Sig.",0.00950402409580199,0.952495044722252,0.999990261480144,"Not Sig."
"13729","Plbd1","ENSMUSG00000030214",FALSE,"Plbd1",66857,0.529780010089458,0.258707333497544,0.688061495935986,"Not Sig.",0.0143059511058146,0.974616927918732,0.999990261480144,"Not Sig."
"13730","Plbd2","ENSMUSG00000029598",FALSE,"Plbd2",71772,0.24543042826239,0.598764813894233,0.886358033840141,"Not Sig.",0.0384302456225884,0.933141684882045,0.999990261480144,"Not Sig."
"13731","Plcb1","ENSMUSG00000051177",FALSE,"Plcb1",18795,-0.337603359633284,0.074990495992932,0.43541498119291,"Not Sig.",0.13184647664025,0.473170139688854,0.999990261480144,"Not Sig."
"13732","Plcb2","ENSMUSG00000040061",FALSE,"Plcb2",18796,-0.0810170900288106,0.814975478227038,0.958744033543962,"Not Sig.",-0.20697477465089,0.543296382888194,0.999990261480144,"Not Sig."
