"","repID","Geneid","is_re","class","superf","fam","logFC_FucovsCtrl_F","pval_FucovsCtrl_F","padj_FucovsCtrl_F","sig_FucovsCtrl_F","logFC_FucovsCtrl_M","pval_FucovsCtrl_M","padj_FucovsCtrl_M","sig_FucovsCtrl_M"
"70","Charlie30b:hAT-Charlie:DNA","Charlie30b:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie30b",0.26906894762675,0.0368702850354086,0.323736694280912,"Not Sig.",0.0567626861882146,0.656904885484007,0.99994677260524,"Not Sig."
"71","Charlie31a:hAT-Charlie:DNA","Charlie31a:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie31a",0.0543768840880304,0.737682086127485,0.941509736857545,"Not Sig.",-0.0111734681254732,0.945043763446245,0.99994677260524,"Not Sig."
"72","Charlie32a:hAT-Charlie:DNA","Charlie32a:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie32a",-0.142303217200167,0.548013575889117,0.86971235002546,"Not Sig.",-0.12765297909658,0.592098324000009,0.99994677260524,"Not Sig."
"73","Charlie4:hAT-Charlie:DNA","Charlie4:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie4",-0.00667793511407845,0.947210576525458,0.995188199054587,"Not Sig.",-0.0242645263281212,0.809020735563435,0.99994677260524,"Not Sig."
"74","Charlie4a:hAT-Charlie:DNA","Charlie4a:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie4a",0.0138630910333361,0.904168388856286,0.984502599735473,"Not Sig.",-0.0178167367344676,0.876847371216873,0.99994677260524,"Not Sig."
"75","Charlie4z:hAT-Charlie:DNA","Charlie4z:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie4z",-0.369497485580741,0.0349647435411754,0.315111391677359,"Not Sig.",-0.0547231075013027,0.755075917910786,0.99994677260524,"Not Sig."
"76","Charlie5:hAT-Charlie:DNA","Charlie5:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie5",-0.0778662147517577,0.452719524009421,0.827664976494357,"Not Sig.",-0.00203833482651518,0.984324357456429,0.99994677260524,"Not Sig."
"77","Charlie6:hAT-Charlie:DNA","Charlie6:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie6",0.0749973371222469,0.65473044772748,0.91048420797364,"Not Sig.",-0.164306477132103,0.329743399024985,0.99994677260524,"Not Sig."
"78","Charlie7:hAT-Charlie:DNA","Charlie7:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie7",0.103569264319356,0.354911869413949,0.769246027513442,"Not Sig.",-0.0575373027368319,0.608212999426,0.99994677260524,"Not Sig."
"79","Charlie7a:hAT-Charlie:DNA","Charlie7a:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie7a",-0.040762789865346,0.876101083799321,0.977959325846213,"Not Sig.",0.0507151662296527,0.845818602622628,0.99994677260524,"Not Sig."
"80","Charlie8:hAT-Charlie:DNA","Charlie8:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie8",0.245248373515515,0.0393837418045915,0.333438044932758,"Not Sig.",-0.0318398337438096,0.788007301740695,0.99994677260524,"Not Sig."
"81","Charlie9:hAT-Charlie:DNA","Charlie9:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Charlie9",-0.189920088074722,0.247128171775863,0.681203600203459,"Not Sig.",-0.0650871731996027,0.692288824754181,0.99994677260524,"Not Sig."
"82","Cheshire:hAT-Charlie:DNA","Cheshire:hAT-Charlie:DNA",TRUE,"DNA","DNA/hAT-Charlie","Cheshire",-0.0401468497776669,0.65619467853254,0.911030313606643,"Not Sig.",-0.0230995462044627,0.797814249276461,0.99994677260524,"Not Sig."
